ref_id,referencia_apa7,url,fecha_consulta,datos_respaldados,notas
REF025,Atlético Bucaramanga [@bucaramangaoficial]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/bucaramangaoficial/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF026,Atlético Nacional [@nacionaloficial]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/nacionaloficial/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF027,Boyacá Chicó [@boyacachico_oficial]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/boyacachico_oficial/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF028,Cúcuta Deportivo [@cucutaoficial]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/cucutaoficial/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF029,Deportivo Cali [@deportivocalioficial]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/deportivocalioficial/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF030,Independiente Medellín [@dimoficialcom]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/dimoficialcom/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF031,Deportivo Pereira [@corpereira]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/corpereira/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF032,Deportes Tolima [@cdtolima]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/cdtolima/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF033,Fortaleza CEIF [@fortaleza_ceif]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/fortaleza_ceif/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF034,Independiente Santa Fe [@santafe_oficial]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/santafe_oficial/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF035,Internacional de Bogotá [@interbogotaoficial]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/interbogotaoficial/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF036,Jaguares de Córdoba [@jaguaresfc]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/jaguaresfc/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF037,Junior FC [@juniorclubsa]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/juniorclubsa/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF038,Llaneros FC [@clubllanerosfc]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/clubllanerosfc/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF039,Millonarios FC [@millosfcoficial]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/millosfcoficial/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF040,Once Caldas [@oncecaldasoficial]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/oncecaldasoficial/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF041,Barrabrava.net. (s. f.). Letras de canciones—Millonarios.,https://barrabrava.net/millonarios/comandos-azules/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF042,Barrabrava.net. (s. f.). Letras de canciones—América de Cali.,https://barrabrava.net/america-de-cali/baron-rojo-sur/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF043,Barrabrava.net. (s. f.). Letras de canciones—Deportivo Cali.,https://barrabrava.net/deportivo-cali/frente-radical-verdiblanco/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF044,Barrabrava.net. (s. f.). Letras de canciones—Atlético Nacional.,https://barrabrava.net/atletico-nacional/los-del-sur/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF045,Barrabrava.net. (s. f.). Letras de canciones—Deportes Tolima.,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF046,Barrabrava.net. (s. f.). Letras de canciones—Unión Magdalena.,https://barrabrava.net/union-magdalena/garra-samaria-norte/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: excluir. No participa en Liga A 2026
REF047,Barrabrava.net. (s. f.). Letras de canciones—Real Cartagena.,https://barrabrava.net/real-cartagena/rebelion-auriverde-norte/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: excluir. No participa en Liga A 2026
REF048,Barrabrava.net. (s. f.). Letras de canciones—Patriotas Boyacá.,https://barrabrava.net/patriotas-boyaca/aguante-sur-patriotas/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: excluir. No participa en Liga A 2026
REF049,Barrabrava.net. (s. f.). Letras de canciones—Deportivo Pasto.,https://barrabrava.net/deportivo-pasto/attake-massivo/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF050,Barrabrava.net. (s. f.). Letras de canciones—Millonarios.,https://barrabrava.net/millonarios/blue-rain/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF051,Barrabrava.net. (s. f.). Letras de canciones—Envigado.,https://barrabrava.net/envigado/pasion-naranja/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: excluir. No participa en Liga A 2026
REF052,Barrabrava.net. (s. f.). Letras de canciones—Jaguares de Córdoba.,https://barrabrava.net/jaguares-de-cordoba/los-de-siempre/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF053,Barrabrava.net. (s. f.). Letras de canciones—Alianza Petrolera.,https://barrabrava.net/alianza-petrolera/dominio-aurinegro/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir_continuidad. Identidad histórica incorporada al actual Alianza FC; conservar el nombre publicado y documentar el cambio por separado
REF054,Barrabrava.net. (s. f.). Letras de canciones—Atlético Huila.,https://barrabrava.net/atletico-huila/alta-tension-sur/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: excluir. No participa en Liga A 2026
REF055,Barrabrava.net. (s. f.). Letras de canciones—La Equidad.,https://barrabrava.net/la-equidad/distrito-asegurador/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir_continuidad. Identidad histórica incorporada al actual Internacional de Bogotá; conservar el nombre publicado y documentar el cambio por separado
REF056,Barrabrava.net. (s. f.). Letras de canciones—Deportivo Pereira.,https://barrabrava.net/pereira/lobo-sur/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF057,Barrabrava.net. (s. f.). Letras de canciones—Junior de Barranquilla.,https://barrabrava.net/junior-de-barranquilla/frente-rojiblanco-sur/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF058,Barrabrava.net. (s. f.). Letras de canciones—América de Cali.,https://barrabrava.net/america-de-cali/disturbio-rojo-bogota/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF059,Barrabrava.net. (s. f.). Letras de canciones—Independiente Santa Fe.,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF060,Barrabrava.net. (s. f.). Letras de canciones—Cúcuta Deportivo.,https://barrabrava.net/cucuta/la-banda-del-indio/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF061,Barrabrava.net. (s. f.). Letras de canciones—Junior de Barranquilla.,https://barrabrava.net/junior-de-barranquilla/la-banda-de-los-kuervos/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF062,Barrabrava.net. (s. f.). Letras de canciones—Once Caldas.,https://barrabrava.net/once-caldas/holocausto-norte/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF063,Barrabrava.net. (s. f.). Letras de canciones—Deportivo Pasto.,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF064,Barrabrava.net. (s. f.). Letras de canciones—Atlético Bucaramanga.,https://barrabrava.net/atletico-bucaramanga/fortaleza-leoparda-sur/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF065,Barrabrava.net. (s. f.). Letras de canciones—Deportes Quindío.,https://barrabrava.net/deportes-quindio/artilleria-verde-sur/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: excluir. No participa en Liga A 2026
REF066,Barrabrava.net. (s. f.). Letras de canciones—Boyacá Chicó.,https://barrabrava.net/boyaca-chico/la-mancha-ajedrezada/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF067,Barrabrava.net. (s. f.). Letras de canciones—Atlético Nacional.,https://barrabrava.net/atletico-nacional/nacion-verdolaga/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF068,Barrabrava.net. (s. f.). Letras de canciones—Once Caldas.,https://barrabrava.net/once-caldas/brigada-11/letras/,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir. Club de Liga A 2026
REF069,Attake Massivo Pasto & La Banda Tricolor. (s. f.). Cantos [Blog].,https://tricoloresbandapasto.blogspot.com/p/cantos.html,2026-09-01,Fuente revisada para decidir inclusión en el corpus,Decisión: incluir_especial. Página pública del repertorio de Attake Massivo y La Banda Tricolor
REF070,Fortaleza Leoparda. (s. f.). Cánticos.,http://www.fortaleza.4mg.com/canticos.htm,2026-09-01,Fuente revisada para decidir inclusión en el corpus,"Decisión: incluir_especial. Sitio histórico de Fortaleza Leoparda; las letras nombran Bucaramanga y al leopardo, no Fortaleza CEIF"
REF071,"División Mayor del Fútbol Colombiano. (2024, 24 de enero). Comunicado: La DIMAYOR y sus 36 clubes le dan la bienvenida a Alianza F.C. a su nueva casa.",https://dimayor.com.co/2024/01/24/comunicado-la-dimayor-y-sus-36-clubes-le-dan-la-bienvenida-a-alianza-f-c-a-su-nueva-casa/,2026-09-01,Cambio de sede de Alianza F.C. a Valledupar y comienzo de la nueva etapa,
REF072,"Atlético Nacional. (2011, 26 de enero). 1994: El título de René.",https://atlnacional.com.co/1994-el-titulo-de-rene/,2026-09-01,Contexto de Juan Pablo Ángel y el título de 1994,
REF073,"Atlético Nacional. (2016, 29 de julio). Magia y creación.",https://atlnacional.com.co/magia-y-creacion/,2026-09-01,Contexto de Macnelly Torres y la Copa Libertadores 2016,
REF074,"Independiente Santa Fe. (2019, 9 de marzo). Comunicado oficial: Situación médica Omar Sebastián Pérez.",https://independientesantafe.com/2019/03/09/comunicado-oficial-situacion-medica-omar-sebastian-perez/,2026-09-01,Desambiguación de Ómar Sebastián Pérez,
REF075,"Internacional de Bogotá. (2025, 10 de diciembre). Nace Internacional de Bogotá: El nuevo club de fútbol de la capital.",https://interbogota.com/nace-internacional-de-bogota-el-nuevo-club-de-futbol-de-la-capital-2/,2026-09-01,Cambio de nombre de Club Deportivo La Equidad a Internacional de Bogotá,
