cantico_id,club_id,equipo_mencionado_fuente,titulo_referencia,letra_original,contexto_cantico,referente_contextual,fuente_contexto,estado_contexto,fuente,url,fecha_consulta,fecha_publicacion,metodo_adquisicion,numero_palabras,estado_verificacion,posible_similar_a,revision_manual,observacion_revision
CAN0011,CLU003,América de Cali,Mi amor crecio en la popular,"5 años en el puto descenso,
mi amor creció en la popular
Te juro que aunque llegue la muerte,
de rojo me tienen que enterrar
Porque yo les enseñe que en primera o en la b las banderas no las vamo a devolver
Para todos los demás que las venga a buscar,
les pedimos un combate en el pascual",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/mi-amor-crecio-en-la-popular/,2026-09-01,,Copiado de texto público mediante extracción reproducible,59,aceptado,,No,
CAN0012,CLU003,América de Cali,Movete rojo Movete,"Movete rojo movete,
movete deja de joder,
que esta banda esta loca!!!!,
y hoy no podemos perder",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/movete-rojo-movete/,2026-09-01,,Copiado de texto público mediante extracción reproducible,17,aceptado,,No,
CAN0013,CLU003,América de Cali,No me arrepiento de este amor,"No me arrepiento de este amor y
aunque no salgas campeon
la mecha es la locura y la pasion
y la libertadores mi obsecion
es cierto q tenemos aguante
y que alentamos ya lo ves
algun dia la copa llegara
y a todos los del culo humillara
despues de tantas estrellas
la popular es una fiesta
la locura de la banda del baroon
y mi unico deseo
vamos mecha pongan huevos
que no puedo arrepentirme de este amooor",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/no-me-arrepiento-de-este-amor/,2026-09-01,,Copiado de texto público mediante extracción reproducible,78,aceptado,,No,
CAN0014,CLU003,América de Cali,"No sé como voy, no sé como vengo","No sé como voy, no sé como vengo
Yo solo sé que te vengo a alentar
No puedo explicar este sentimiento
Que llevo adentro no puedo parar
Vamos mi Mechita todo va a estar bien
Como siempre te seguiré, como siempre te alentaré
Vamos mi Mechita vamos a ganar
Que la vuelta yo quiero dar, todos juntos a festejar
El Panadero p*to no existe más
El Panadero p*to no existe más",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/no-se-como-voy-no-se-como-vengo/,2026-09-01,,Copiado de texto público mediante extracción reproducible,71,aceptado,,No,
CAN0015,CLU003,América de Cali,No voy a Dejarte,"Dicen que voy a la cancha que soy un borracho
Que soy de la mecha y voy descontrolado/
Y a pesar de todo yo te vengo a ver oh oh
Dicen que los dirigentes ya lo negociaron
Lo que mas importa es cuanto yo te amo
Rojo dejo todo por venirte a ver oh oh/
Llevo en la sangre toda esta alegría que no tenga duda
Por mas que ofenda y que duela no pienso acabar mi locura
Este descenso que duele no es facial
Me hizo mas fuerte ayudo a levantarme del suelo
Porque el Rojo es muy graandee
Esta es tu hinchada que alienta en las malas/
Y a los jugadores solo le pedimos mas huevos oh oh oh
No voy a dejarte",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/no-voy-a-dejarte/,2026-09-01,,Copiado de texto público mediante extracción reproducible,125,aceptado,,No,
CAN0016,CLU003,América de Cali,Para que a primera volvamos,"No importa si jugás en la A
No importa si jugás en la B
No me importa el resultado
Igual te sigo a todo lado
Porque te amo
Voy descontrolado
Yo te vengo a ver
Por más que el descenso dolió
Una cosa le pido a Dios
Que demos la vuelta este año
Para que a primera volvamos
Y vamos los diablos
Y vamos los diablos",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/para-que-a-primera-volvamos/,2026-09-01,,Copiado de texto público mediante extracción reproducible,66,aceptado,,No,
CAN0017,CLU003,América de Cali,Que no se olviden de la historia y de la gloria,"A la Mecha yo la sigo a todo lado, siempre voy descontrolado, por eso te vengo a ver
Yo del rojo siempre he estado enamorado y en la mala nunca te abandonaré
Yo por eso le pido a los jugadores, que le pongan más el pecho y que dejen de joder
Que no se olviden de la historia y de la gloria, de los que están en el cielo y de Miguel",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/que-no-se-olviden-de-la-historia-y-de-la-gloria/,2026-09-01,,Copiado de texto público mediante extracción reproducible,72,aceptado,,No,
CAN0018,CLU003,América de Cali,Rojas Escarlata,"Menores, yo soy escarlata, yeh
Se soltaron los diablos rojos
Y en la tribuna sur se prendió la fogata, yeh
Los trapo' en el aire
Está prohibido que alguien pare de alentar
De seguro esta noche el Pascual va a reventar
De seguro que se va caer la popular, yeah, oh
Solo suden la camiseta
Yeah, eh
No es lo mismo ver al diablo a hablar de él
Que ir a agarrarlo por los cuernos, fai, sí
Todo hincha sin miseria va a la casa
Pero háblame de una hinchada
Que hasta en otra división llena un estadio del gobierno
No me va a asustar el cielo
Si estuvimos cada lunes aguantando y caminando en el infierno
Dame una alegría, mecha linda
Pongan huevos que te quiero ver campeón
Es mi ilusión, me tiene enfermo
La pasión de un pueblo
La locura de la lleca
La cabeza del ""Tecla""
La derecha de Gareca yao
Casi cinco finales que se nos fueron de las manos a secas
El ascenso en el Pascual
Y los domingos que salimos ganando en tu Palmaseca
Tigre, hoy te perdono lo del fallo
Lo que no perdono es lo del ""Caballo"" en la discoteca
Corran hasta cojos
Vamos rojos, quiero ser campeón de América
Más puntos pa' la numérica
Ronquemos de futbol
Si en el mundo fuimos los segundos en plantilla
Y los primeros aquí en Suramérica, ¡ja!
Marica, que te vas a mentir solo
Tu estadio está solo
En cambio yo los sábados veo la caldera histérica
Porque me volví la bestia en esto
Pero sigue el mismo sueño que tengo desde la cuna: solo América
Y ganoso 'e ser primero en julio
Ya compramos los abonos pa' la hinchada
Llama a Tulio y pa'l Pascual
La experiencia de saber que descendimos
Pero el fresco de saber que subimos con un penal
La hinchada que es el jugador 12
Si juega bien, prácticamente está obligando a los 11 a no jugar mal
Cada partido aquí es una final
Así sean básicos
Menos el clásico, que es masculino o vaginal, ya
Muela, no es real
Fútbol en paz
Hay ocasiones en las que hacer menos es ser más
Hoy van como 5 fechas no más
Y sea con el que sea, si no es rojo con todo respeto, gas
Ahí viene la banda del diablo, ¿Para 'ónde va?
Me voy para el Pascual, pero con 5 panas más
América y no importan los demá'
Se siente el carnaval en San Fernando pero en las Acacias más
Pongan huevos que les ganamos con 9
Suden la camiseta
Rompan el peto
Eso lo que mínimo que deben
Tengo 20 cumpliditos, yo no viví el 19
Pero en el 2011 no faltamos nunca ni un lunes ni en jueves
Siempre llenos hasta cuando llueve
Quieren bajar de estrellas, ¡ja!, breve, ¡yao!
Y no hablen de robar
Ni hablemos de comprar
Que hablar ninguno puede
Y hasta paila que me calquen
Qué tal que
Les toque darme el 10 recién llegado como Falque
Estamos uniendo firmas y estamos regando el rojo a lo que marque
En las autopistas, los barrios, los parques
No va a haber otra hinchada que abarque
No va a haber otro así como Paz pa' que los marque
105 y la de Averno
Esa es la hinchada de un sentimiento escarlata que por ustedes se mata
Pa' que marquen
Yeah
Se soltaron los diablos rojos
Y en la tribuna sur se prendió la fogata, ¡yeh!
Los trapos en el aire
Está prohibido que alguien pare de alentar
De seguro esta noche el Pascual va a reventar
De seguro que se va a caer la popular, ¡yeah, oh!
Suden la camiseta
En San Fernando hay carnaval (yeah)
Háblales G's
Oye, Esteban Rojas
La Nue, La Nueva Luz del Diamante, ¡ja!
Esto es Cali Cartel
¿Qué pasó fai?
La Averno Central, esto es rojo capo
Hijos de Caín, papito
Bloque sur templete
No es juego, ¿qué pasa?
Yeah
Esto es Cali Calentura
Que no es lo mismo
Yeah
Barón Rojo Sur
Rojo capo
Háblales Camilo
High Beats
Los vamos a pintar de escarlata, yeah, ah
Pieces
Ya ellos saben cómo dice
José Joseando",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/rojas-escarlata/,2026-09-01,,Copiado de texto público mediante extracción reproducible,695,aceptado,,No,
CAN0019,CLU003,América de Cali,Se va a caer la popular,"Vas a morir,
vas a llorar
se va a caer,
La popular
Una vez mas
Llego el momento y esta banda loca te viene alentar
Una vez mas
El sentimiento de ser escarlata me hace delirar...",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/se-va-a-caer-la-popular/,2026-09-01,,Copiado de texto público mediante extracción reproducible,36,aceptado,,No,
CAN0020,CLU003,América de Cali,Se viene la banda del diablo,"Señores soy americano lo llevo en el alma
La banda que en todos momentos siempre te acompaña
Ser hincha de mecha realmente es un sentimiento
Te sigo no importa donde vallas yo siempre te aliento
Recuerdo que juntos pasamos muy duros momentos
Las 4 finales, la muerte del negro misterio
A los jugadores les pido que dejen la vida
Vamos escarlata dame una alegría/
Se viene la banda del diablo,
se viene la banda del diablo,
se viene la banda del diablo
Baron Rojo Sur
Se viene la banda del diablo,
se viene la banda del diablo,
se viene la banda del diablo
Baron Rojo Sur",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/se-viene-la-banda-del-diablo/,2026-09-01,,Copiado de texto público mediante extracción reproducible,106,aceptado,,No,
CAN0021,CLU003,América de Cali,Si vos sos de Nacional,"Si vos sos de Nacional, vos sos un homosexual,
si ves a Laisa en TV, sos un marica también,
son todos panaderos que se reúnen en un burdel
son todos panaderos que se reúnen en un burdel",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/si-vos-sos-de-nacional/,2026-09-01,,Copiado de texto público mediante extracción reproducible,37,aceptado,,No,
CAN0022,CLU003,América de Cali,Te sigo hasta la muerte,"Te voy a alentaar// Te sigo hasta la muerte// este amor se hace mas fuertee// te juro que siempre voy a estar
Te voy a alentaar// Te sigo hasta la muerte// este amor se hace mas fuertee// te juro que siempre voy a estar
América te quiero de verdad// lo siego visitante o de local// aunque la dimayor te descenido// esta pasion no desaparecio.
Ahora yo le digo al nacional// que pronto volveremos a la A// que ya nos vamos a encontrar// te lo dice la barra de bogota ¡¡ ya lo veras!!",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/te-sigo-hasta-la-muerte/,2026-09-01,,Copiado de texto público mediante extracción reproducible,92,aceptado,,No,
CAN0023,CLU003,América de Cali,Verde cagon,"verde cagooon, verde cagooon, verde cagoon verde cagoon, verde cagooon, verde cagooon
con la pistola en la mano
voleando chuzo y balin
sera siempre baron rojo
lo mas grande del pais
verde cagooon",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/verde-cagon/,2026-09-01,,Copiado de texto público mediante extracción reproducible,33,aceptado,,No,
CAN0024,CLU003,América de Cali,Esta Hinchada No Te Deja de Alentar,"¡Vamos Los Rojos! Que tenemos que ganar, Esta hinchada no te deja de alentar...",,,,,FanChants,https://www.fanchants.com/es/football-songs/america-de-cali-chants/deportivo-cali-chant-10/,2026-09-01,2013,Copiado de texto público mediante extracción reproducible,14,requiere revisión: asociación con club,,Sí,La URL y la descripción histórica de FanChants mencionan Deportivo Cali; revisar asociación con América de Cali.
CAN0025,CLU003,América de Cali,Se Va a Caer la Popular,"Una vez mas, Es el momento de esta banda loca te viene alentar, Una vez mas, El sentimiento de ser escarlata me hace delirar Vas a Morir Vas a Llorar Se va Caer La Popular...",,,,,FanChants,https://www.fanchants.com/es/football-songs/america-de-cali-chants/popular-will-get-down/,2026-09-01,2014,Copiado de texto público mediante extracción reproducible,35,aceptado,,No,
CAN0026,CLU003,América de Cali,¡Vamos Diablos Rojos!,"¡Vamos, vamos Diablos Rojos, vamos a ganar! ¡Vamos, vamos Diablos Rojos, vamos a ganar! Yo te sigo a todas partes a donde vas, Cada vez te quiero más...",,,,,FanChants,https://www.fanchants.com/es/football-songs/america-de-cali-chants/go-go-red-devils/,2026-09-01,2014,Copiado de texto público mediante extracción reproducible,28,aceptado,,No,
CAN0027,CLU004,Deportivo Pasto,Donde sea yo lo voy a ver,"Porque Siempre Prometí
Que yo siempre te amaré
Que daria yo mi vida solo por venirte a ver
Alentarte a donde vas
Mucho mas si vos perdes
Porque este amor que yo siento
Es tan grande ya lo ves
Una cosa pido Yo!
Directivo que pasó
No desångres al equipo
La pųta que te pârio...
Al trico!
Donde sea yo lo voy a ver
Con toda la muchachada
La fiesta siempre yo haré
Al trico!
Le pido otra vez la vuelta dar
Queremos un campeonato
Todos juntos a celebrar",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/donde-sea-yo-lo-voy-a-ver/,2026-09-01,,Copiado de texto público mediante extracción reproducible,89,aceptado,,No,
CAN0028,CLU004,Deportivo Pasto,La Banda Loca,"Esta es la banda loca del superdepor
la que lo sigue al pasto sin tener miedo
la que deja la vida por los colores
la que le pide huevo a los jugadores
para ser campeones...",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/la-banda-loca/,2026-09-01,,Copiado de texto público mediante extracción reproducible,35,requiere revisión: similitud,CAN0046,Sí,"Similitud alta conservada: CAN0046 (secuencia=0.971, vocabulario=0.931, longitud=1.000)"
CAN0029,CLU004,Deportivo Pasto,Lo Que Yo Quiero,"Y dale dale tricolor, te venimos a ver
esta banda esta re loca, de pequeño te vengo a ver
sabes que vos sos lo que yo quiero
no me importa si esto es un juego
yo te regalo mi corazon, solo te pido salir campeon",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/lo-que-yo-quiero/,2026-09-01,,Copiado de texto público mediante extracción reproducible,45,aceptado,,No,
CAN0030,CLU004,Deportivo Pasto,Los Vendidos,"Los vendidos son asi, son lo mas amargo del mundo entero
se las dan de hinchada fiel, pero no saben lo que es sentimiento
les vamos a demostrar, pasion que siente todo un pueblo
vamos a salir a alentar, ganes o pierdas pasto yo te quiero
y dale vos y dale dale pasto
y dale vos y dale dale pasto",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/los-vendidos/,2026-09-01,,Copiado de texto público mediante extracción reproducible,60,requiere revisión: similitud,CAN0049,Sí,"Similitud alta conservada: CAN0049 (secuencia=0.880, vocabulario=0.891, longitud=0.923)"
CAN0031,CLU004,Deportivo Pasto,No Me Arrepiento,"No me arrepiento de este amor
aunque ya seas campeon
amar es un milagro y yo te ame
como nunca jamas lo imagine
voy a tatuarte en mi piel
voy a seguirte por doquier
yo siento que mi pasto va a ganar
y con toda la banda a celebrar
y aunque ya dimos la vuelta
siempre el pasto es una fiesta
la locura de las drogas y el alcohol
y antes del segundo tiempo todavia estoy entero
y vos no podes fallarme tricolor",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/no-me-arrepiento/,2026-09-01,,Copiado de texto público mediante extracción reproducible,83,requiere revisión: similitud,CAN0051,Sí,"Similitud alta conservada: CAN0051 (secuencia=0.905, vocabulario=0.829, longitud=0.976)"
CAN0032,CLU004,Deportivo Pasto,Pasto Te Pido Una Ilusion,"Al pasto yo le pido una ilusión
Al pasto lo llevo en el corazón...
Al pasto yo lo sigo a donde va...
Ya no hay cura para esta enfermedad
(coro)
Vamos pasto vamo a ganar
Porque la vuelta vamo' a dar
Donde jugues siempre va a estar...
La banda del libertad...",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/pasto-te-pido-una-ilusion/,2026-09-01,,Copiado de texto público mediante extracción reproducible,51,aceptado,,No,Duplicado exacto también localizado en Blog Attake Massivo Pasto & La Banda Tricolor: https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-4
CAN0033,CLU004,Deportivo Pasto,Pasto tricolor eternamente,"Oh...Deportivo...Yo lo dejo todo para verte..
Voy a quererte...Pasto tricolor eternamente...
Esta noche cueste lo que cueste...
Y dale deportivo no le falles a tu gente..
vamos ponga huevo y corazon que la banda a vos te alienta con toda la pasion...",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/pasto-tricolor-eternamente/,2026-09-01,,Copiado de texto público mediante extracción reproducible,45,aceptado,,No,
CAN0034,CLU004,Deportivo Pasto,Siempre voy contigo,"Y dale pasto dar otra vuelta es lo que yo quiero
Esta es tu hinchada la que nunca te va abandonar
La que te alienta y corre al rojo en carretera
De corazon siempre a vos te sigue por donde vas
Vamoooos deportivooo
Siempree yo voy contigooo
Quiero sali campeon
La vueltaaaa quiero yo ..",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/siempre-voy-contigo/,2026-09-01,,Copiado de texto público mediante extracción reproducible,54,aceptado,,No,
CAN0035,CLU004,Deportivo Pasto,Somos de la ciudad de pasto,"Somos de la Ciudad de Pasto,
Pueblo de aguante y carnaval...
La Banda siempre a vos te alienta...
Nunca te va abandonar...
Dale dale Tricolor ... dale dale Tricolor
Dale Dale Dale Dale Tricolor
Si vas bien o si vas mal de visitante o de local
Deportivo siempre te voy alentar...",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/somos-de-la-ciudad-de-pasto/,2026-09-01,,Copiado de texto público mediante extracción reproducible,50,aceptado,,No,
CAN0036,CLU004,Deportivo Pasto,Tricolores,"Yo vengo para demostrar
el amor que yo siento
locura, aguante y carnaval
mas que un sentimiento
por eso yo lo dejo todo
y me voy... a alentar al tricolor...
Dale dale tricolor
sos la droga y mi pasion
esta tarde (noche) hay que ganar
la banda te va a alentar",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/tricolores/,2026-09-01,,Copiado de texto público mediante extracción reproducible,51,requiere revisión: similitud,CAN0055,Sí,"Similitud alta conservada: CAN0055 (secuencia=0.960, vocabulario=0.927, longitud=0.961)"
CAN0037,CLU004,Deportivo Pasto,Vamos Los Tricolores,"Vamos, vamos los tricolores
pongan huevos, que hoy hay que ganar
vamos, vamos los tricolores
que esta banda, quiere festejar
te vengo a ver te vengo a alentar
donde jugues hasta el final
la banda esta re loca
nadie la puede parar, oh oh
hay que jugar hay que ganar
porque la vuelta vamos a dar
y a los vendidos, hoy los vamos a matar, oh oh",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/vamos-los-tricolores/,2026-09-01,,Copiado de texto público mediante extracción reproducible,67,aceptado,,No,
CAN0038,CLU004,Deportivo Pasto,Yo se muy bien que pasare la vida entera,"Yo se muy bien que pasare la vida entera
siguiendo al pasto por calles y carreteras
sigo alentando para que salgas campeón
no como el lobo ni los putos del baron
yo no abandono por que no soy un comando
soy del attake soy de la ciudad de pasto
te vengo a ver yo te vengo alentar
solo te pido otro campeonato mas
Dale dale tricolor y dale tricolor y dale tricolor (*2)..",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/attake-massivo/letra/yo-se-muy-bien-que-pasare-la-vida-entera/,2026-09-01,,Copiado de texto público mediante extracción reproducible,73,aceptado,,No,
CAN0039,CLU004,Deportivo Pasto,Yo soy del pasto,Señores yo soy del pasto y tengo aguante yo sigo a mi superdepor a todas partes el pasto es un sentimiento que se lleva en el corazon yo daria toda mi vida por verte campeon dale dale voo dale vooo ....,,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/attake-massivo/letra/yo-soy-del-pasto/,2026-09-01,,Copiado de texto público mediante extracción reproducible,40,aceptado,,No,
CAN0040,CLU004,Deportivo Pasto,Yo Soy Del Pasto,"Señores yo soy del pasto y tengo aguante
yo sigo al superdepor a todas partes
que el pasto es un sentimiento
que se lleva en el corazon
yo daria toda mi vida por ser campeon
dale dale oh
dale dale oh
dale dale oh
dale dale oh",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/yo-soy-del-pasto/,2026-09-01,,Copiado de texto público mediante extracción reproducible,47,aceptado,,No,
CAN0041,CLU004,Deportivo Pasto,"Yo te vengo a ver, sos mi locura","Dale, Dale,Dale, Dale, Dale Dale, Deportivoooo
Dale, Dale,Dale, Dale, Dale Dale, Tricoloooor
Dale, Dale,Dale, Dale, Dale Dale, Deportivoooo
Dale, Dale,Dale, Dale, Dale Dale, Tricoloooor
Yo te vengo a ver, Sos mi locuraaaa.
Esta enfermedad no tiene curaaaaa.
Superdepor sos la droga de mi corazooooon",,,,,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/yo-te-vengo-a-ver-sos-mi-locura/,2026-09-01,,Copiado de texto público mediante extracción reproducible,48,aceptado,,No,
CAN0042,CLU004,Deportivo Pasto,ALENTANDO EN PRIMERA PARA VOS,"EL ASCENSO FUE LA MAYOR ALEGRIA
ASCENDIMOS CON AGUANTE Y CORAZON
LE CERRAMOS EL CULO A TODOS LOS VENDIDOS
Y A LA MAFIA DE LA PUTA DIMAYOR...
ALENTANDO SIEMPRE EN LAS BUENAS Y MALAS
DESCENDIMOS PERO FUE PARA VOLVER
EL SENTIMIENTO VALE MAS QUE MIL PALABRAS
Y LA MENTIRA QUE NOS HIZO DESCENDER
Y AHORA ESTOY ALENTANDO EN PRIMERA PARA VOS...
TRICOLOOOOOR. PONE HUEVOS YO QUIERO SALIR CAMPEON..",,,,,Blog Attake Massivo Pasto & La Banda Tricolor,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-2,2026-09-01,,Copiado de texto público mediante extracción reproducible,68,requiere revisión: segmentación de fuente,,Sí,La página reúne varios cantos en un solo documento y su formato no delimita todos los bloques con la misma claridad; revisar la segmentación manualmente.
CAN0043,CLU004,Deportivo Pasto,ATTAKE MASSIVO,"YA LLEGÓ, LA HINCHADA
QUE TE CANTA, TE GRITA
Y TE ALIENTA SIN PARAR
VAMOS PASTO VAMOS A GANAR
EL ATTAKE MASSIVO YA LLEGÓ",,,,,Blog Attake Massivo Pasto & La Banda Tricolor,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-13,2026-09-01,,Copiado de texto público mediante extracción reproducible,24,requiere revisión: segmentación de fuente,,Sí,La página reúne varios cantos en un solo documento y su formato no delimita todos los bloques con la misma claridad; revisar la segmentación manualmente.
