revision_id,tipo_revision,canticos_involucrados,decision_revision,id_conservar_o_relacionar,club_id_corregido,nombre_club_corregido,justificacion,revisor,fecha_revision,fecha_integracion,urls_evidencia,fuente_decision,estado_aplicacion
SIM-011,similitud,CAN0288 | CAN0302,conservar_uno,CAN0288,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0288 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letra/se-me-ha-perdido-el-corazon/ | https://www.fanchants.com/es/football-songs/deportes-tolima-chants/the-main-group/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-012,similitud,CAN0290 | CAN0311,conservar_uno,CAN0290,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0290 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letra/soy-del-vinotinto-si-senor/ | https://www.fanchants.com/es/football-songs/deportes-tolima-chants/im-made-of-red-wine/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-013,similitud,CAN0292 | CAN0299,conservar_uno,CAN0299,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0299 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letra/toda-la-vida-yo-te-voy-a-querer/ | https://www.fanchants.com/es/football-songs/deportes-tolima-chants/everywhere-5/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-014,similitud,CAN0317 | CAN0409,conservar_uno,CAN0317,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0317 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/albi-rojo-soy/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/santa-fe-chant-4/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-015,similitud,CAN0320 | CAN0406,conservar_uno,CAN0320,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0320 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/cada-dia-te-quiero-mas/ | https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/yo-te-amo/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-016,similitud,CAN0327 | CAN0419,conservar_uno,CAN0327,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0327 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/dicen-que-estamos-locos-de-la-cabeza/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/oh-santa-fe/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-017,similitud,CAN0333 | CAN0417,conservar_uno,CAN0333,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0333 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/el-rojo-es-la-locura/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/heart-20/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-018,similitud,CAN0336 | CAN0352,conservar_ambos,,,,"Se conservan ambas versiones: una letra alude a Santa Fe y la otra a Cúcuta Deportivo; la alta similitud corresponde a una adaptación entre clubes, no a un duplicado analítico.",David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/eres-una-enfermedad-de-la-que-no-quiero-curarme/ | https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/loquito-por-ti/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-019,similitud,CAN0338 | CAN0416,conservar_uno,CAN0338,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0338 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/esta-es-la-banda-loca-descontrolada/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/this-is-the-crazy-gang/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-020,similitud,CAN0342 | CAN0358,conservar_uno,CAN0342,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0342 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/hay-una-cosa-que-solo-le-pido-a-dios/ | https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/muchas-veces-fui-preso-por-santa-fe/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-021,similitud,CAN0349 | CAN0404,conservar_uno,CAN0349,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0349 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/las-gayinas-son-asi/ | https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/yo-soy-del-rojo-senor/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-022,similitud,CAN0351 | CAN0353,conservar_uno,CAN0353,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0353 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/llenamos-la-popular-y-nos-mandamos-en-avalancha/ | https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/los-domingos-despues-de-almorzar/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-023,similitud,CAN0359 | CAN0392,conservar_uno,CAN0392,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0392 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/ni-la-muerte-nos-va-separar/ | https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/te-llevamos-en-el-corazon/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-024,similitud,CAN0363 | CAN0425,conservar_uno,CAN0363,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0363 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/pedire-la-luna-yo-te-la-dare/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/santa-fe-chant-10/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-025,similitud,CAN0365 | CAN0426,conservar_uno,CAN0365,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0365 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/por-que-sera/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/passion-9/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-026,similitud,CAN0367 | CAN0387,conservar_uno,CAN0387,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0387 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/porque-santa-fe-es-toda-mi-vida-entera/ | https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/soy-adicto-al-leon/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-027,similitud,CAN0377 | CAN0436,conservar_uno,CAN0436,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0436 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/ser-albirrojo-es-un-honor-una-pasion/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/come-on-come-on-15/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-028,similitud,CAN0379 | CAN0431,conservar_uno,CAN0379,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0379 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/senores-soy-del-leon-del-expreso-bogotano/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/santa-fe-chant-2/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-029,similitud,CAN0380 | CAN0418,conservar_uno,CAN0380,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0380 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/senores-yo-dejo-todo/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/can-we-leave-champions/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-030,similitud,CAN0391 | CAN0414,conservar_uno,CAN0414,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0414 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/tambien-llore-y-muchas-veces-fui-preso-por-santa-fe/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/santa-fe-chant-7/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-031,similitud,CAN0394 | CAN0433,conservar_uno,CAN0394,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0394 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/todos-los-domingos-llega-al-nemesio/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/santa-fe-chant-1/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-032,similitud,CAN0408 | CAN0439,conservar_uno,CAN0408,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0408 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/vamos-rojo-vamos/ | https://www.fanchants.com/es/football-songs/club-santa-fe-chants/come-on-56/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-033,similitud,CAN0465 | CAN0482,conservar_uno,CAN0482,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0482 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/junior-de-barranquilla/la-banda-de-los-kuervos/letra/el-carnaval-del-kuervo/ | https://barrabrava.net/junior-de-barranquilla/la-banda-de-los-kuervos/letra/todo-el-mundo-sabe-que-estamos-enfermos/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-034,similitud,CAN0520 | CAN0521,conservar_ambos,,,,"Se conservan ambas versiones porque están registradas para agrupaciones distintas de Millonarios (Blue Rain y Comandos Azules), aun cuando comparten una base textual.",David Cardona Duque,,2026-09-07,https://barrabrava.net/millonarios/blue-rain/letra/senores-yo-soy-de-millos-y-tengo-aguante/ | https://barrabrava.net/millonarios/comandos-azules/letra/senores-yo-soy-de-millos-y-tengo-aguante/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-035,similitud,CAN0560 | CAN0561,conservar_uno,CAN0560,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0560 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://www.fanchants.com/es/football-songs/millonarios-futbol-club-chants/band-mfc/ | https://www.fanchants.com/es/football-songs/millonarios-futbol-club-chants/well-come-back-well-come-back-mfc/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SEG-CAN0042,segmentacion,CAN0042,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-2,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0043,segmentacion,CAN0043,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-13,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0044,segmentacion,CAN0044,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-5,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0045,segmentacion,CAN0045,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-12,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0046,segmentacion,CAN0046,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-15,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0047,segmentacion,CAN0047,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-6,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0048,segmentacion,CAN0048,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-16,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0049,segmentacion,CAN0049,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-19,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0050,segmentacion,CAN0050,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-3,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0051,segmentacion,CAN0051,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-7,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0052,segmentacion,CAN0052,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-1,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0053,segmentacion,CAN0053,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-10,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0054,segmentacion,CAN0054,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-18,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0055,segmentacion,CAN0055,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-17,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0056,segmentacion,CAN0056,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-11,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0057,segmentacion,CAN0057,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-8,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0058,segmentacion,CAN0058,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-9,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
SEG-CAN0059,segmentacion,CAN0059,segmentacion_correcta,,,,"La revisión de la página confirmó que el bloque delimitado corresponde a un único cántico; se mantiene sin unir, dividir ni excluir.",David Cardona Duque,,2026-09-07,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-14,revision_casos_fase2.xlsm · hoja Segmentación,aplicada
ASO-CAN0024,asociacion,CAN0024,confirmar_club,,,,Se confirma América de Cali según la revisión contextual del registro; la referencia contradictoria de la URL histórica no prevalece sobre la asociación verificada.,David Cardona Duque,,2026-09-07,https://www.fanchants.com/es/football-songs/america-de-cali-chants/deportivo-cali-chant-10/,revision_casos_fase2.xlsm · hoja Asociación,aplicada
ASO-CAN0141,asociacion,CAN0141,confirmar_club,,,,Se confirma Atlético Nacional: la página está alojada bajo el repertorio del club y la revisión mantuvo esta asociación pese a la descripción histórica contradictoria.,David Cardona Duque,,2026-09-07,https://www.fanchants.com/es/football-songs/atletico-nacional-chants/atletico-nacional-chant-2-an/,revision_casos_fase2.xlsm · hoja Asociación,aplicada
ASO-CAN0147,asociacion,CAN0147,confirmar_club,,,,Se confirma Atlético Nacional: la página está alojada bajo el repertorio del club y la revisión mantuvo esta asociación pese a la descripción histórica contradictoria.,David Cardona Duque,,2026-09-07,https://www.fanchants.com/es/football-songs/atletico-nacional-chants/atlctico-nacional-chant-21-an/,revision_casos_fase2.xlsm · hoja Asociación,aplicada
ASO-CAN0352,asociacion,CAN0352,reasignar_club,,CLU008,Cúcuta Deportivo,"Se reasigna a Cúcuta Deportivo porque la letra menciona explícitamente «Cúcuta querido», «Cúcuta divino» y el símbolo «rojinegro»; la ruta de la fuente bajo Santa Fe es inconsistente con el contenido.",David Cardona Duque,,2026-09-07,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/loquito-por-ti/,Aclaración del revisor al integrar revision_casos_fase2.xlsm · hoja Asociación,aplicada
